wallet,score,risk
AiEttJSDRWwtDvWhv5Ao155eatvDY8ptundDS7UpBSzy,80,1
EZW4hs3RZsufaHXcTfg3Fmsh9WeSP6qdcKgtjWwwv3Dz,80,1
Bwrenmuroxi1bgaW7kr8QWKeBFBCiANqq6xYbCV4rNFW,80,1
AeiHZFKMafdcCWpeq68utUUjLC7mcEW5iUyBqU8cV1mJ,80,1
G4WCxamkHV7KfUNtr8cXmdwiV3gYB5oSRCK5S3d67vHi,80,1
8r4HKp8ysFhjMp58mfEKMvnRxzcXam9fpXbk6sFSoAUs,80,1
EtNLvY2Zq1uzJTcKEVR4tLrGQi59GwkHaWbBbDEYdUwU,80,1
72ctE76VTRSFMpkNw4Rp6LAgQEhYGt5jeKjpeFmaEdN8,80,1
4WYyqKraVr76v91zX9j2TMTsgeyjTaiUjAWbepFctvmC,80,1
2PLqoV5D91Wp5cx21CsNeaSCE8Z4mqB1ED9PPGPJA9Wd,80,1
23MR6edJA2gaNZ2G21wYHQiKMvM2BRFRNqctW1aZUfkx,80,1
Abr51zEzoLALYfx4VpktNwPrpZnCZeixgWvZoZx91fzG,80,1
CA3fR7ssYxMqHY49C4DGXnwjFdCRXys2iSobknSeRoxS,80,1
6XgMSrd2K7QMGabZHzNdDDGEMgbajgt4zpocbRPppGtM,80,1
2CrKXfdpBBZSM589LH5UjjjgVjSRpnHmYgkzSdGmm45m,80,1
BvTcG9QgTFq4kC97EpG46PSfvY9rxcFbW42qfV43nJxv,80,1
CZuxTkPrzwHGfT6AAQEmamsaddJ6NgjuBFgvFoHQKsNh,80,1
ECGJJuQ4LTaFn8BzzTe2rqQZSxM84AXaPzoFkrpuTwsi,80,1
4RB6vQQbg53UrsHo1vqqXwGu9wmbTsitHWDdekx7qJXS,80,1
77gBuPBQ5QjNqrqX72EZokp4VmmgZuLSyPgYk4roiCcS,80,1
B9VyDEa5gUwCT4Pip8cqUGTkTEmT7QsoqiuJLiDWGQkx,80,1
H3Z96huasj3XaWndYccKuFt4FQcXidvJ9LNgEmdER5Rg,80,1
3o354QiU9JHyjntP2KqG12jcAxYmYiJEaxqayMQRWHrJ,80,1
FemHtSjsFkKjgRNhXfaoqp819hsqVTWhSSKHRKiVmhne,80,1
7n8YE163F5sr1pTsiYBz3s7FAc7wbJ8R1FAUtJCjP6q4,80,1
D8DiqpPNUHNXhnzHiuRdLUAMDe217FEosAgTpSJupDgZ,80,1
9wzM3RTVCJ8qzL5BCj2njeb154QmUWSPRMzvXZcN9paP,80,1
Gf8DLjUm7NmfCDtjKyZHDoDz7Jki1xTFXv8266ctBKm5,80,1
BCMESqzb2sttgYCtm6kVdYeh2WDvzPoEHgXUSMscUNbw,80,1
BXKeyqtJGcdf3jNUunqybbSDt7GEmpAy9zVZWgXEgWQk,80,1
GYHGNHkV1hEVpxr1fh12JumbPx9ActUDjAoLUDywHjE4,80,1
8yGeKj9bekjERJvLSmw13HGFHkEXkoAXZH8GtefFHMJg,80,1
4asN3pzjfWPK8R3M5kFwPA9Kx7gExWstVc91AtZxB2t3,80,1
4DZ95DRE9pB7xKarNWiA9JHReHS1fGrJ4bJS57NU9a7U,80,1
3RKn143gyTLS8mYrhxih4GNbtGQQBoDW411NhN2oog1t,80,1
6Fz95QEWTDRsCjLt4Zn32nchoPmY4Cw9Jn7Q9T65dFAZ,80,1
BxYbvVxo6UrRDTbGkML1MScp8hyJjPKRfVRWPQ5Er7d8,80,1
Ei8VS3vK7MEPLD5eDC5PxEVJN5J7G5MbdHSBjrJ8haRB,80,1
9qUTiRu4VsZ4rH8qfzj7g2BDsocVsrQZxgpY1owRg6sg,80,1
8ainaDBakSZJF74Hcc11NSRF5UG2otAy2wpJSf8msT4R,80,1
3r9qCatCQuDgbAgsnFpgUkc5FqeuCFTgUQzB38g7cwuz,80,1
AqwUh6mae27XTQrync8ENTUMT94uJ7u2bD7Us9Piuadi,80,1
Aw3dkCHG5ZJwfKugbcXMsxstoWi5qVXX59gmG72T5SVC,80,1
HkQkLb1r9q2XztF7dVjknU3rzbr3MbsRErDC3MFcBdC6,80,1
AVWoiB5d416M8WUvxBCfT4LpUzLZMtGUf4XmPpoQgbGZ,80,1
G5jgEXxbXuukNTQNDn7JekqM1M3Q3gmeNfzANkMyHvw9,80,1
BVZwdjcxLrPzyDro24uNiohhCjAHJAHbeh9s7vWMkR12,80,1
6mPKgshy3QhxiK1VkMetWvE1Qxygd9ufXKerhyJHV3uW,80,1
8w971a9aPxmszNvSBbHusrcRruXBZhPxEwtPApAbYaqh,80,1
213ajL3an1nM8aX8osNXWqayfu2jWDa7ZaYfZ1JHZ9XM,80,1
GfL4kb7rhsKt7qVTVCkM213vVDtdQwkd1D21245SiDN8,80,1
EsL5WcZKRKrpLhaQLMMKzjaxquJvrf88E2hFqtfH7u6K,80,1
6fkTpUPeXsWWBTqCYxAfwS4FFBoxqWRvbgtrNGfw2QCn,80,1
9HKZ9nodthd65pJg3mTAmq6nuQ3kVKMXGfSEyUjh5Pvj,80,1
4iGVFtZpBhQnDN6xc29jMofPuQfe21ChtUgYaS1cvrMw,80,1
5bChXCPsSQw828SJBFoSKFaNTY6wWTrL8C3iRQWp3XaJ,80,1
FGk3Sogzxr6cnu1rvJfD9V6o1KofDEYqZz2bmry2zjvj,80,1
7mvncqhu6zLXVDhLgfKyvzQuo7R1vj7em9bWTCGGU1Q3,80,1
AiQomiqAw95L8Fd2qpEdWYYv4JHhJMmGbm7B5LjoATuE,80,1
3Qydmr4QF8oD5RJHSfXbJNyAVRxxWsqTTspUo1e9CpYA,80,1
4F5BrWJp6cRiPSXfoTTvBdPBak9dpEqAV6jB2SxmZ29L,80,1
FdvDt4Er9RUVrCM28ksZXBCydc5L59uUrpE981T8kVfK,80,1
5Wdt7sf1xRKS2HcS8yohexBmjzq4CYihPzRceea3S9fB,80,1
DpQXcDn5FvJJ25uBzqnyPCJfghm9pqo7sVYzxFi19Tw9,80,1
6Ss9fzPBvinCzT8dAHS67DLhm4rxLxSwjPa4oNu43DPw,80,1
FXQGiSTVcyfu48L1jCe29HuZLhLSZhU1fxNJvzmhrZNt,80,1
