wallet,label,source,category,notes
JUPyiwrYJFskUPiHa7hkeR8VUtAeFoSYbKedZNsDvCN,legit,known_protocol,DEX,Jupiter aggregator
675kPX9MHTjS2zt1qfr1NYHuzeLXfQM9H24wFSUt1Mp8,legit,known_protocol,DEX,Raydium AMM
whirLbMiicVdio4qvUfM5KAg6Ct8VwpYzGff3uctyCc,legit,known_protocol,DEX,Orca Whirlpool
MarBmsSgKXdrN1egZf5sqe1TMai9K1rChYNDJgjq7aD,legit,known_protocol,staking,Marinade Finance
TSWAPaqyCSx2KABk68Shruf4rp7CxcNi8hAsbdwmHbN,legit,known_protocol,NFT,Tensor NFT marketplace
M2mx93ekt1fmXSVkTrUL9xVFHkmME8HTUi5Cyc5aF7K,legit,known_protocol,NFT,Magic Eden marketplace
Jito4APyf642JPZPx3hGc6WWJ8zPKtRbRs4P815Awbb,legit,known_protocol,staking,Jito MEV staking
MERLuDFBMmsHnsBPZw2sDQZHvXFMwp8EdjudcU2HKky,legit,known_protocol,DEX,Mercurial/Meteora
SSwpkEEcbUqx4vtoEByFjSkhKdCT862DNVb52nZg1UZ,legit,known_protocol,DEX,Saber DEX
cjg3oHGg7597FkQZMBBewEwKEPMOIkcPZiUCVmcyqLL,legit,known_protocol,staking,Cogent staking
So11111111111111111111111111111111111111112,legit,solana_system,native,Wrapped SOL program
TokenkegQfeZyiNwAJbNbGKPFXCWuBvf9Ss623VQ5DA,legit,solana_system,program,SPL Token Program
11111111111111111111111111111111,legit,solana_system,system,System Program
ComputeBudget111111111111111111111111111111,legit,solana_system,system,Compute Budget Program
ATokenGPvbdGVxr1b2hvZbsiqW5xWH25efTNsLJA8knL,legit,solana_system,program,Associated Token Program
metaqbxxUerdq28cj1RbAWkYQm3ybzjb6a8bt518x1s,legit,known_protocol,NFT,Metaplex Token Metadata Program
CoREENxT6tW1HoK8ypY1SxRMZTcVPm7R94rH4PZNhX7d,legit,known_protocol,NFT,Metaplex Core Program
cndy3Z4yapfJBmL3ShUp5exZKqR3z33thTGKkPCNRhVk,legit,known_protocol,NFT,Metaplex Candy Machine v2
vau1zxA2LbssAUEF7Gpw91zMM1LvXrvpzJtmZ58rPsn,legit,known_protocol,oracle,Pyth Network oracle
7WVhw8R7moAHaPJkZh59kRbqyApTFQvjV816qwEjsW6o,legit,blockid_user,founder,BlockID founder wallet - verified
D4dybLQkZwTngU3XbTjK9kce1nrVCPGhvfhUu8WtDYLZ,legit,blockid_system,mint_authority,BlockID NFT mint authority wallet
