wallet,score
HmXoZ5CP2rBmAL4PLZv9JJLLeKzmdDGxc7jYvSKQEi7C,48
BvkRM727ocWTdqYbvwmjqhioUEbqE7sjaPAfaPfwHagF,79
8SpY7AUhnWYGfowKWuXN76qUDG292xe1SkrrL2A4LyQo,46
3WADaqa1dgLiytLwSkQ5Agx3FZa53vZp8Yudx1jMUkUW,14
4gBiwcaSp8swwMoiry5QAS9xmdGd8o9c3aMRMuCcSvgu,3
CCizdPm2s8Pa9AdANkSz1GDbsa6vqZwAGt1bMgaRBa9z,27
Co7gJhpM3F57q1pz41fZbDKsqKFHYFovuN3XByYMSJ4i,31
GNQv2x3EkWN5gBsBQ4DqHg58Nsvm94DqhEWX2zLV18VK,6
8Gda3ZoKyKnLf2EhPsU7dw7QtFy5hNcUuiLyyST627k5,14
7JgVUnnUsdsEbFQeHfjs5AqTj72VJrpdhxuj25vU68kx,76
3kiT5yjtEJQywHVzjdAj5SGvfkf54yth6RXcTGRrQp6G,1
CgTFWEXzm63HerMaCWYtd4DAEFjowBx6SmRpAE95w7tB,68
5sznNwRVX6VvktqrKq4huieozRC7N4VeKQ7QuNFJs1JY,31
AAhsRqHpPKJWWqgRARsNucd7qTy7uj24BNzny2mS1iH4,39
DMAWHKDDQa4NgirUfHvMAqtN57zULw5YgCwpuBNqgVP,14
DJrZWuazHGkxjK9eqNHcJ3QCiCe9YonpcgojzZyFtaZu,13
Ge77v9EYzVAnaM5rjutU6SWUauSqnmY2wBvg7Rn21bUU,0
5oCawrc1LQe3VPMR6F3vDYkYoiZY55MkHdrCKwRxfZGa,55
FFWjjmWsdJ57iYNe46XBvKDrRCeEJqnQ6sLpNyg5MPXb,14
8UUAPHwmQqGW55NZkgfBNu1GL9SeCaV3wWXN85WGMuz1,72
gMkzAgWhmckpKMqytEAAKmhkaKZWVz5Ex7dUm4U94Ka,84
H3wv3J6EzJZYYmYELGKLVJLM3Zh5cgryLFtGMuupqPYz,22
A9KFxjYJyBw8w7W5sLzhTZjKv7PGwFa9WkWhFwuoC5KV,80
64VYynWDrmMPWVURR48dMyez8PNdBa1JjqrgEgFQWPBZ,96
5hvK7zmJoXZREMeuuwmWTAuc8uQ79if2AAxTcEH18485,14
8u8rFAs4c6Rp4XrrqWjjpyZvWPNCRBHYBYMqmuKeekwp,69
9N8Py5vjW3BTkMURSzjfXnQFRHwJ1VDw5SyULYe9AHYi,49
